u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-10.7069,-10.3727,-10.0872,-4.5394,-2.4732,-2.1237,1.5662,3.1255,3.4035,3.636,5.1953,5.264,D05864_A01AA02
-10.6997,-10.3749,-10.0872,-4.5394,-2.4691,-2.1265,1.5664,3.1267,3.4031,3.6332,5.1948,5.2713,D05864_A12CD02
-6.0389,-6.0339,-4.606,-4.5929,-4.5486,-4.5153,1.5802,1.5825,2.4947,2.6046,3.0921,3.1153,D05241_A01AA03
-1.2514,-1.2513,0.8987,1.5853,-4.5486,-4.5153,0,0,-1.2514,-1.2513,0.8987,1.5853,D00008_A01AB02
-1.2514,-1.2514,0.8986,1.5854,-4.5486,-4.5153,0,0,-1.2514,-1.2514,0.8986,1.5854,D00008_D08AX01
-1.2514,-1.2514,0.8986,1.5853,-4.5486,-4.5153,0,0,-1.2514,-1.2514,0.8986,1.5853,D00008_S02AA06
-12.5071,-12.4425,-12.344,-12.1868,-11.9506,-11.6462,5.5888,5.6587,5.6654,5.9667,7.1231,8.7576,D07668_A01AB03
-12.3987,-12.2123,-12.1952,-11.7677,-11.7121,-11.5441,5.3719,5.4505,5.5477,5.5861,6.8178,8.4309,D07668_B05CA02
-13.0624,-12.715,-12.5731,-12.4442,-12.1362,-11.6604,5.5224,5.5378,5.6061,5.7433,6.928,9.2904,D07668_D08AC02
-12.5821,-12.5569,-12.4389,-11.6696,-11.6178,-11.4708,5.3829,5.4309,5.4906,5.5207,6.8439,8.4357,D07668_D09AA12
-12.4021,-12.3875,-12.2744,-11.9317,-11.8619,-11.7268,5.3834,5.4775,5.5049,5.597,6.8726,8.5691,D07668_R02AA05
-12.5803,-11.987,-11.8917,-11.2232,-11.1946,-11.1064,5.3621,5.3629,5.4147,5.4907,6.6382,8.3091,D07668_S01AX09
-12.364,-12.3555,-12.3191,-12.1203,-11.7993,-11.7568,5.466,5.5344,5.5515,5.611,6.9979,8.5142,D07668_S02AA09
-12.4593,-12.3858,-12.3406,-11.8391,-11.8106,-11.7943,5.4118,5.4584,5.4749,5.5011,6.8712,8.6959,D07668_S03AA04
-12.5267,-12.4305,-12.3578,-11.8576,-11.7436,-11.4844,5.2912,5.4479,5.5452,5.5844,6.7856,8.4923,D00858_A01AB03
-12.5195,-12.3986,-12.3398,-11.8009,-11.7546,-11.7204,5.3673,5.4194,5.4538,5.4822,6.8479,8.4371,D00858_B05CA02
-12.4682,-12.3756,-12.2381,-12.1686,-11.8377,-11.7973,5.4708,5.5387,5.5579,5.6681,6.8869,8.2829,D00858_D08AC02
-12.5468,-12.5051,-12.2832,-11.823,-11.7899,-11.7484,5.4858,5.5128,5.519,5.6056,6.8451,8.5247,D00858_D09AA12
-12.373,-12.3466,-12.3356,-12.2637,-11.7617,-11.7123,5.4704,5.5303,5.5316,5.6445,6.5644,8.7275,D00858_R02AA05
