u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-6.028,-5.3673,-5.3657,-5.3651,-5.0052,-4.6057,1.7344,1.7344,1.7345,1.7435,1.9928,2.8209,D06545-01
-6.1771,-6.1577,-4.6932,-4.6905,-4.6805,-4.6653,2.1409,2.1433,2.2624,2.2843,2.6468,3.2509,D06390-01
-5.4453,-5.444,-2.1286,-0.6693,-0.6383,-0.5832,0.4931,0.6919,0.9055,0.9972,1.1091,1.7023,D07855-01
-6.0296,-5.8827,-4.6178,-4.5519,-4.2825,-3.5338,1.8052,1.8063,1.9064,1.9727,2.0175,2.1646,D07588-01
-6.0306,-4.6244,-4.6161,-4.6108,-0.8054,-0.7545,1.4584,1.4741,1.4751,1.5728,1.5755,1.5798,D07686-01
-10.0612,-10.0559,-2.9752,-2.8558,-2.792,-2.5636,1.9371,2.2931,2.2983,2.3341,3.0401,5.3542,D07728-01
-6.0298,-4.6231,-4.6165,-4.61,-2.7925,-2.4283,1.5698,1.5709,1.5764,1.6819,2.1588,2.1813,D08446-01
-6.0331,-4.6056,-4.597,-4.5932,-4.5927,-4.2818,1.565,1.5717,1.5791,1.6341,1.8832,2.1353,D07736-01
-5.9235,-5.6985,-5.696,-5.005,-4.3688,-3.1774,1.737,2.0076,2.1139,2.1287,2.2781,3.2288,D09324-01
-4.8682,-4.4289,-4.4267,-4.2624,-4.262,-3.9936,2.2442,2.3381,2.429,2.657,2.6906,2.9169,D09845-01
-6.2651,-5.4303,-5.1835,-5.1827,-5.0654,-4.9249,2.369,2.4348,2.8092,3.2142,3.2217,3.4796,D08212-01
-5.8221,-5.8161,-4.4362,-4.4356,-2.0484,-2.0025,1.8329,2.217,2.3712,2.603,3.139,3.1511,D05031-01
-3.739,-3.0135,-2.3236,-1.8504,-1.1725,-0.7914,0.5686,0.6345,0.7991,0.9799,1.4547,1.6703,D07766-01
-5.1828,-5.0685,-4.5282,-4.4014,-3.559,-3.4334,1.961,1.9621,2.0739,2.4309,2.5258,2.8126,D09569-01
